start,end,location_idx,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,target_vector
365.0,366.0,5,173.634,74.818,4.013,0.428,106.293,353.489,2230.899,30.0,7.123,26.17,65.5,153.25,1.936,0.661,515.141,-1191.468,60.0,17.482,17.524,-0.939,0.154,0.15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
366.0,367.0,5,172.432,74.324,2.672,0.225,97.57,359.006,2241.406,20.293,2.683,15.544,66.647,155.0,1.713,0.0,526.168,-1211.02,60.0,13.793,8.448,-0.929,0.228,0.121,"[0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1]"
367.0,368.0,5,192.971,77.556,7.703,2.524,238.047,310.266,2079.723,45.929,31.277,94.474,77.828,168.31,3.086,12.782,574.956,-1218.243,60.0,31.725,61.381,-0.921,0.206,0.135,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
368.0,369.0,5,233.214,88.154,17.749,4.163,478.833,207.107,1857.152,125.209,25.086,37.837,88.92,179.96,11.121,1.509,595.903,-1167.455,60.0,72.379,30.737,-0.923,0.172,0.18,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
369.0,370.0,5,287.507,84.262,9.128,6.785,973.441,274.119,2167.926,125.745,66.469,130.754,46.867,159.0,14.44,8.262,375.998,-1198.42,60.0,89.854,21.696,-0.958,0.168,0.069,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
370.0,371.0,5,302.771,65.085,1.683,12.222,1204.673,463.429,2406.081,20.57,103.392,14.956,10.25,107.0,3.992,53.972,116.193,-894.296,60.0,32.742,459.135,-1.079,0.244,0.278,"[0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
371.0,372.0,5,,,,,,,,,,,,,,,,,,,,0.126,-0.464,0.807,"[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
372.0,373.0,5,,,,,,,,,,,,,,,,,,,,0.291,-0.588,0.812,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
373.0,374.0,5,,,,,,,,,,,,,,,,,,,,-0.035,-0.269,0.751,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
374.0,375.0,5,,,,,,,,,,,,,,,,,,,,-0.849,0.69,0.202,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
375.0,376.0,5,,,,,,,,,,,,,,,,,,,,0.647,0.288,0.226,"[0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
376.0,377.0,5,,,,,,,,,,,,,,,,,,,,0.525,0.261,-0.035,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
377.0,378.0,5,277.457,146.769,3.579,7.469,822.49,-187.694,1996.622,29.028,53.377,12.148,48.143,139.952,3.356,1.174,359.045,-989.309,60.0,21.784,5.097,-0.992,0.475,0.097,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
378.0,379.0,5,274.753,137.353,3.235,3.015,801.161,-121.24,1991.268,18.618,21.232,15.953,48.167,139.833,2.64,0.986,358.487,-985.916,60.0,19.67,11.633,-0.862,0.391,0.301,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
379.0,380.0,5,280.0,144.17,0.866,3.423,840.416,-169.357,1997.236,3.918,24.625,8.731,43.4,139.0,0.8,0.0,326.539,-983.079,60.0,5.969,4.256,-0.944,0.283,0.112,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
380.0,381.0,3,280.121,145.602,0.116,1.031,837.627,-178.511,1988.556,1.838,6.691,5.759,44.75,139.0,0.661,0.0,334.493,-978.849,60.0,5.126,2.807,-0.84,0.458,0.174,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
381.0,382.0,3,,,,,,,,,,,,,,,,,,,,-0.618,0.484,0.409,"[0.0, 0.2, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
382.0,383.0,4,,,,,,,,,,,,,,,,,,,,0.002,0.417,0.943,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
383.0,384.0,4,,,,,,,,,,,,,,,,,,,,0.612,0.492,0.394,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
384.0,385.0,4,,,,,,,,,,,,,,,,,,,,0.932,0.248,0.385,"[0.0, 0.2, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
385.0,386.0,4,,,,,,,,,,,,,,,,,,,,-0.467,0.369,0.03,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
386.0,387.0,4,,,,,,,,,,,,,,,,,,,,-0.914,0.224,0.178,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
387.0,388.0,4,162.123,80.925,0.0,0.0,22.563,415.33,3031.097,0.0,0.0,0.0,85.0,133.0,0.0,0.0,907.782,-1409.561,60.0,0.0,0.0,-0.962,0.167,0.138,"[0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
388.0,389.0,4,,,,,,,,,,,,,,,,,,,,-0.69,0.541,0.406,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.2, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
389.0,390.0,4,166.827,81.639,0.0,0.0,72.747,408.771,3038.747,0.0,0.0,0.0,77.0,135.0,0.0,0.0,824.815,-1434.23,60.0,0.0,0.0,-0.079,0.885,0.458,"[0.0, 0.0, 0.0, 0.0, 0.15, 0.05, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0]"
390.0,391.0,4,165.046,80.478,0.593,0.727,54.134,424.2,3060.589,6.16,9.401,11.513,69.0,138.0,0.0,1.0,743.591,-1476.492,60.0,2.786,16.199,-0.193,0.902,0.301,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]"
391.0,392.0,4,164.99,79.221,0.068,0.042,53.615,438.111,3063.762,0.703,0.504,1.841,71.0,136.0,0.0,1.732,766.056,-1456.288,60.0,0.458,18.339,-0.438,0.557,0.656,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
392.0,393.0,4,,,,,,,,,,,,,,,,,,,,-0.506,0.227,0.862,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
393.0,394.0,4,166.767,79.215,0.0,0.0,73.364,442.172,3091.672,0.0,0.0,0.0,67.0,133.0,0.0,0.0,729.639,-1437.391,60.0,0.0,0.0,-0.486,0.242,0.889,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]"
394.0,395.0,4,,,,,,,,,,,,,,,,,,,,-0.824,0.151,0.666,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6]"
395.0,396.0,4,,,,,,,,,,,,,,,,,,,,-0.652,0.399,0.528,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
396.0,397.0,4,,,,,,,,,,,,,,,,,,,,-0.22,0.527,0.472,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75]"
397.0,398.0,4,,,,,,,,,,,,,,,,,,,,-0.139,0.811,0.468,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]"
398.0,399.0,4,,,,,,,,,,,,,,,,,,,,-0.26,0.851,0.501,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
399.0,400.0,4,,,,,,,,,,,,,,,,,,,,-0.435,0.69,0.6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
400.0,401.0,4,,,,,,,,,,,,,,,,,,,,-0.203,0.518,0.854,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
401.0,402.0,4,,,,,,,,,,,,,,,,,,,,-0.302,0.244,0.966,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
402.0,403.0,4,,,,,,,,,,,,,,,,,,,,0.051,0.743,0.102,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4]"
403.0,404.0,4,,,,,,,,,,,,,,,,,,,,-0.178,0.838,-0.109,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
404.0,405.0,4,,,,,,,,,,,,,,,,,,,,-0.3,0.856,0.248,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
405.0,406.0,4,,,,,,,,,,,,,,,,,,,,-0.284,0.539,0.686,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
406.0,407.0,4,,,,,,,,,,,,,,,,,,,,-0.108,0.532,0.411,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
407.0,408.0,4,,,,,,,,,,,,,,,,,,,,-0.363,0.912,0.244,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
408.0,409.0,4,,,,,,,,,,,,,,,,,,,,-0.333,0.839,0.412,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
409.0,410.0,4,,,,,,,,,,,,,,,,,,,,-0.332,0.844,0.435,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
410.0,411.0,4,,,,,,,,,,,,,,,,,,,,-0.363,0.816,0.43,"[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
411.0,412.0,4,,,,,,,,,,,,,,,,,,,,-0.066,0.899,0.375,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
412.0,413.0,4,,,,,,,,,,,,,,,,,,,,0.13,0.892,0.333,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
413.0,414.0,4,,,,,,,,,,,,,,,,,,,,-0.22,0.901,0.395,"[0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
414.0,415.0,4,,,,,,,,,,,,,,,,,,,,-0.228,0.668,0.625,"[0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
415.0,416.0,4,,,,,,,,,,,,,,,,,,,,-0.126,0.806,0.566,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
416.0,417.0,4,,,,,,,,,,,,,,,,,,,,-0.072,0.866,0.478,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
417.0,418.0,4,,,,,,,,,,,,,,,,,,,,-0.159,0.844,0.465,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
418.0,419.0,4,,,,,,,,,,,,,,,,,,,,-0.015,0.861,0.497,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
419.0,420.0,4,,,,,,,,,,,,,,,,,,,,-0.194,0.534,0.722,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
420.0,421.0,4,,,,,,,,,,,,,,,,,,,,-0.464,0.276,0.864,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
421.0,422.0,4,46.66,160.509,0.0,0.0,-860.046,-307.39,2163.933,0.0,0.0,0.0,99.0,111.0,0.0,0.0,729.244,-853.966,60.0,0.0,0.0,-0.48,0.567,0.7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0]"
422.0,423.0,4,,,,,,,,,,,,,,,,,,,,-0.496,0.472,0.782,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.95, 0.0]"
423.0,424.0,4,,,,,,,,,,,,,,,,,,,,-0.453,0.654,0.41,"[0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0]"
424.0,425.0,4,,,,,,,,,,,,,,,,,,,,-0.197,0.765,0.286,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
425.0,426.0,4,43.31,141.537,0.823,0.928,-809.136,-149.383,1977.475,1.335,7.24,10.677,85.0,157.0,0.0,0.0,565.96,-1095.53,60.0,3.183,5.878,-0.281,0.737,0.492,"[0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
426.0,427.0,4,,,,,,,,,,,,,,,,,,,,-0.304,0.712,-0.222,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
427.0,428.0,4,,,,,,,,,,,,,,,,,,,,-0.398,0.834,0.322,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
428.0,429.0,4,162.684,92.266,1.702,3.694,29.031,299.428,3079.724,18.378,39.01,8.238,85.444,137.444,1.257,1.571,926.536,-1480.37,60.0,11.947,16.723,-0.303,0.86,-0.302,"[0.0, 0.0, 0.0, 0.0, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
429.0,430.0,4,163.683,93.842,0.231,0.369,39.76,282.375,3078.369,2.53,4.188,2.653,80.5,136.0,2.598,1.0,872.531,-1464.097,60.0,28.752,10.701,-0.396,0.473,0.676,"[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]"
430.0,431.0,4,,,,,,,,,,,,,,,,,,,,-0.203,0.229,0.969,"[0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25]"
431.0,432.0,4,,,,,,,,,,,,,,,,,,,,-0.512,0.761,-0.037,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
432.0,433.0,4,,,,,,,,,,,,,,,,,,,,-0.476,0.706,-0.317,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
433.0,434.0,4,,,,,,,,,,,,,,,,,,,,-0.654,0.455,0.55,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
434.0,435.0,4,,,,,,,,,,,,,,,,,,,,-0.663,0.214,0.731,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
435.0,436.0,4,,,,,,,,,,,,,,,,,,,,-0.624,0.581,0.416,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
436.0,437.0,4,,,,,,,,,,,,,,,,,,,,-0.698,0.299,0.665,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
437.0,438.0,4,,,,,,,,,,,,,,,,,,,,-0.652,0.385,0.668,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]"
438.0,439.0,4,42.96,161.809,0.006,0.041,-902.032,-322.228,2197.827,0.193,0.367,0.365,87.0,167.0,0.0,0.0,647.685,-1292.863,60.0,0.111,0.214,-0.642,0.506,0.589,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
439.0,440.0,1,43.31,155.813,0.0,0.0,-910.787,-279.525,2225.819,0.0,0.0,0.0,89.0,171.0,0.0,0.0,672.045,-1340.055,60.0,0.0,0.0,-0.945,0.304,-0.017,"[0.0, 0.0, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0]"
440.0,441.0,1,,,,,,,,,,,,,,,,,,,,-0.939,0.137,0.211,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
441.0,442.0,4,,,,,,,,,,,,,,,,,,,,-0.269,0.648,0.151,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
442.0,443.0,4,,,,,,,,,,,,,,,,,,,,0.808,0.014,0.495,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
443.0,444.0,4,145.161,97.524,0.108,0.221,-158.217,239.65,3040.553,1.259,2.507,2.065,55.0,135.5,2.0,2.598,583.568,-1439.957,60.0,20.958,28.171,-0.066,0.449,0.265,"[0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1]"
444.0,445.0,4,119.265,120.347,7.191,3.592,-349.679,-2.567,2456.464,55.182,30.532,53.116,73.286,148.143,3.104,2.587,621.835,-1277.545,60.0,33.697,47.696,-0.893,0.137,0.285,"[0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4]"
445.0,446.0,4,78.127,136.751,18.522,3.595,-663.463,-135.768,2330.108,123.984,23.436,88.909,94.8,149.8,13.28,7.96,759.061,-1225.79,60.0,124.785,32.419,-0.952,0.28,0.03,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
446.0,447.0,4,46.349,165.594,0.312,6.837,-803.506,-320.979,2015.996,24.475,40.337,55.935,87.0,137.667,7.118,13.695,590.538,-984.782,60.0,34.816,124.251,-0.649,0.485,0.582,"[0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
447.0,448.0,4,46.472,167.465,0.0,0.0,-818.765,-342.315,2056.661,0.0,0.0,0.0,87.0,125.0,0.0,0.0,604.618,-911.707,60.0,0.0,0.0,-0.619,0.374,0.692,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
